ID,birth_year,gender,yr_experience,industry,occupation,num_employees,household_size,metro_regional,perc_RW_last_q,pref_perc_RW_last_q,perc_RW_last_yr,pref_perc_RW_last_yr,pref_RW_post_covid,update_RW_agreement_post_covid,worked_RW_past_six_months,frequency_RW,pref_frequency_RW,employer_onsite_policy,perc_required_onsite,employers_policy_suits_me,choose_level_of_RW,choose_which_days_RW,direct_manager_denies_allows_RW,feelings_about_employer_policy,six_months_employer_encouraged_RW,six_months_employer_prepared_employees_for_RW,six_months_common_to_RW,six_months_easy_to_get_permission,six_months_collaborate_easily_RW,pared_collab,six_months_RW_decreases_chance_of_promotion,six_months_take_more_breaks_RW,RW_positive_or_negative_for_employer,who_in_org_is_most_supportive_of_RW,post_covid_employer_would_encourage_RW,post_covid_emplolyer_would_make_changes_to_accomodate_RW,post_covid_more_choice_about_RW,hrs_spent_onsite_preparing_commuting,hrs_spent_onsite_working,hrs_spent_onsite_caring_domestic_activities,hrs_spent_onsite_personal_family_time,hrs_spent_onsite_sleep,hrs_spent_RW_preparing_commuting,hrs_spent_RW_working,hrs_spent_RW_caring_domestic_activities,hrs_spent_RW_personal_family_time,hrs_spent_RW_sleep,RW_paycut_interest,accepted_paycut,six_month_barriers_RW_caring_responsibilities,six_month_barriers_RW_connectivity,six_month_barriers_RW_company_software_systems,six_month_barriers_RW_difficulty_collaborating_remotely,six_month_barriers_RW_poor_management,six_month_barriers_RW_IT_equipment,six_month_barriers_RW_feeling_leftout_isolated,six_month_barriers_RW_extra_costs,six_month_barriers_RW_cyber_security,six_month_barriers_RW_tasks_that_cannot_be_done_remotely,six_month_barriers_RW_workspace_conditions,six_month_barriers_RW_motivation,six_month_barriers_RW_managment_discourages_remote_work,six_month_barriers_RW_living_situation,six_month_barriers_RW_lack_of_RW_skills,six_month_barriers_RW_health_safety_remote,hybrid_biggest_barriers_one,hybrid_smallest_barriers_one,hybrid_biggest_barriers_two,hybrid_smallest_barriers_two,hybrid_biggest_barriers_three,hybrid_smallest_barriers_three,hybrid_biggest_barriers_four,hybrid_smallest_barriers_four,hybrid_biggest_barriers_five,hybrid_smallest_barriers_five,hybrid_biggest_barriers_six,hybrid_smallest_barriers_six,hybrid_biggest_barriers_seven,hybrid_smallest_barriers_seven,hybrid_biggest_barriers_eight,hybrid_smallest_barriers_eight,hybrid_biggest_barriers_nine,hybrid_smallest_barriers_nine,hybrid_biggest_barriers_ten,hybrid_smallest_barriers_ten,hybrid_biggest_barriers_eleven,hybrid_smallest_barriers_eleven,hybrid_biggest_barriers_twelve,hybrid_smallest_barriers_twelve,hybrid_biggest_barriers_thirteen,hybrid_smallest_barriers_thirteen,hybrid_biggest_barriers_fourteen,hybrid_smallest_barriers_fourteen,feel_better_when_RW,pared_wellness,more_active_when_RW,feel_better_seeing_colleagues_onsite,do_you_manage_employees,managed_employees_RW,can_offer_RW_to_managed_employees,offering_RW_retains_employees,offering_RW_recruits_employees,team_works_well_RW,easy_to_manage_employees_RW,easy_to_manage_poor_performers_RW,well_prepared_to_manager_RW,managing_RW_more_results_focused,easy_to_contact_employees_RW,productivity_RW,managed_employees_productivity_RW
853,1998,Female,Between 6 and 12 months,Other Services,Sales workers - Sales Support Workers,Between 1 and 4,Couple with dependent children,Metro,10%,20%,10%,20%,30%,No,Yes,20%,30%,Yes,50%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,4,Neither agree nor disagree,Strongly agree,Somewhat Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,1,5,5,5,8,1,5,5,5,8,No,,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,3,Somewhat agree,Somewhat agree,No,,,,,,,,,,,50%,
17,1972,Female,Between 1 and 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,One parent family with dependent children,Regional,30%,10%,20%,20%,20%,No,Yes,20%,20%,Yes,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,Somewhat agree,Somewhat agree,Somewhat Positive,My direct manger(s),Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,5,5,5,5,4,5,5,5,5,4,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Noisy work environment,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Lack of privacy,Difficulty innovating,Interruptions,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Interruptions,Lack of appropriate work and meeting spaces,Difficulty innovating,Noisy work environment,Lack of appropriate work and meeting spaces,Difficulty innovating,Interruptions,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Difficulty collaborating with remote colleagues,Lack of privacy,Noisy work environment,Problems with audio-visual setup,Neither agree nor disagree,3,Neither agree nor disagree,Somewhat agree,No,,,,,,,,,,,50%,
911,1986,Male,Between 6 and 12 months,"Professional, Scientific and Technical",Technicians and trades workers - Automotive and Engineering Trades Workers,More than 200,Couple with dependent children,Regional,100%,100%,100%,100%,100%,No,No,,,No,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,Somewhat disagree,Somewhat disagree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat unlikely,Neither unlikely or likely,8,8,1,1,6,2,10,2,2,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,50%,
798,1981,Female,Between 1 and 5 years,Retail Trade,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,100%,100%,100%,100%,80%,No,No,,,No,,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4,Somewhat disagree,Somewhat agree,Somewhat Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,0,8,4,4,8,0,10,4,2,8,No,,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,3,Neither agree nor disagree,Strongly agree,No,,,,,,,,,,,50%,
1478,1993,Male,Between 1 and 5 years,Education and Training,Managers - Specialist Managers,Between 5 and 19,Single person,Metro,0%,10%,20%,10%,20%,Yes,Yes,30%,20%,Yes,20%,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,Somewhat agree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Somewhat likely,Neither unlikely or likely,10,5,3,6,0,6,6,0,6,6,Yes,0.5,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Significantly improved,Stayed about the same,Significantly worsened,Not a barrier for me,Significantly worsened,Stayed about the same,Significantly improved,Somewhat worsened,Stayed about the same,Not a barrier for me,Somewhat improved,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Lack of privacy,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup,Connectivity/internet issues,Lack of privacy,Noisy work environment,Noisy work environment,Lack of appropriate work and meeting spaces,Difficulty innovating,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Lack of privacy,Noisy work environment,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty innovating,Noisy work environment,Neither agree nor disagree,3,Somewhat disagree,Somewhat agree,No,,,,,,,,,,,40%,
361,1972,Female,More than 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,One parent family with dependent children,Regional,10%,10%,10%,10%,10%,No,Yes,10%,10%,Yes,10%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,Somewhat agree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat likely,Somewhat likely,Somewhat likely,2,6,5,5,6,4,4,8,4,4,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Noisy work environment,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Interruptions,Connectivity/internet issues,Noisy work environment,Difficulty innovating,Noisy work environment,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Difficulty innovating,Problems with audio-visual setup,Noisy work environment,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Difficulty innovating,Neither agree nor disagree,3,Somewhat agree,Somewhat agree,No,,,,,,,,,,,40%,
1252,1982,Male,Between 1 and 5 years,"Transport, Postal and Warehousing","Managers - Hospitality, Retail and Service Managers",More than 200,Single person,Regional,20%,50%,20%,40%,40%,Yes,Yes,10%,20%,Yes,80%,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither positive nor negative,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,4,Somewhat disagree,Somewhat disagree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,0.7,8,2,5.3,8,0,8.5,3,4.5,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Noisy work environment,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup,Neither agree nor disagree,3,Somewhat agree,Somewhat agree,No,,,,,,,,,,,30%,
1372,1977,Male,Between 1 and 5 years,Manufacturing,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,60%,60%,60%,60%,60%,Yes,Yes,10%,10%,Yes,60%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly Positive,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4,Neither agree nor disagree,Strongly disagree,Strongly Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,0.5,10,3,3.5,7,0,12,2.5,2.5,7,No,,Not a barrier for me,Not a barrier for me,Significantly improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Interruptions,Lack of privacy,Problems with audio-visual setup,Lack of privacy,Interruptions,Difficulty innovating,Connectivity/internet issues,Lack of privacy,Noisy work environment,Difficulty innovating,Interruptions,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Problems with audio-visual setup,Difficulty innovating,Noisy work environment,Lack of privacy,Interruptions,Lack of privacy,Noisy work environment,Difficulty innovating,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,30%,
914,1995,Male,Between 1 and 5 years,Financial and Insurance,Clerical and administrative workers - Other Clerical and Administrative Workers,I am a sole trader/owner-operator,Couple with dependent children,Metro,20%,20%,10%,20%,20%,No,Yes,30%,20%,Yes,30%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,4,Somewhat disagree,Somewhat agree,Neither positive nor negative,They are about the same,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,5,6,4,3,6,4,6,4,5,5,No,,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Significantly worsened,Significantly worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Lack of privacy,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Difficulty innovating,Interruptions,Noisy work environment,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Difficulty innovating,Noisy work environment,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Difficulty innovating,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment,Neither agree nor disagree,3,Somewhat agree,Somewhat agree,No,,,,,,,,,,,30%,
1343,1979,Male,More than 5 years,Other Services,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,10%,20%,10%,20%,20%,Yes,Yes,10%,10%,Unsure,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,Strongly disagree,Somewhat agree,Somewhat Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1,8,2,4,9,0.5,7.5,3,4,9,No,,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Noisy work environment,Lack of privacy,Problems with audio-visual setup,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Interruptions,Noisy work environment,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Noisy work environment,Lack of privacy,Noisy work environment,Connectivity/internet issues,Difficulty innovating,Interruptions,Difficulty innovating,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Interruptions,Noisy work environment,Problems with audio-visual setup,Neither agree nor disagree,3,Somewhat agree,Somewhat agree,No,,,,,,,,,,,30%,
1196,1988,Female,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,One parent family with dependent children,Metro,90%,90%,80%,50%,50%,Yes,No,,,No,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly Positive,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,4,Neither agree nor disagree,Strongly agree,Somewhat Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,2,8,2,4,8,2,8,2,4,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Noisy work environment,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Interruptions,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Problems with audio-visual setup,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty innovating,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Neither agree nor disagree,3,Strongly agree,Neither agree nor disagree,No,,,,,,,,,,,30%,
168,1990,Female,More than 5 years,Information Media and Telecommunications,Sales workers - Sales Support Workers,More than 200,Couple with dependent children,Metro,30%,60%,40%,40%,40%,Yes,Yes,60%,60%,Unsure,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,4,Strongly disagree,Strongly agree,Strongly Positive,They are about the same,Somewhat likely,Somewhat likely,Very likely,1.5,8,2,3.5,9,0,6,5,3,10,No,,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Significantly worsened,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Lack of privacy,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Difficulty innovating,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty innovating,Noisy work environment,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty collaborating with remote colleagues,Difficulty innovating,Neither agree nor disagree,3,Somewhat disagree,Neither agree nor disagree,No,,,,,,,,,,,30%,
1235,1961,Male,More than 5 years,Mining,"Technicians and trades workers - Engineering, ICT and Science Technicians",Between 20 and 199,Single person,Regional,0%,0%,0%,0%,100%,Yes,No,,,Yes,10%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4,Neither agree nor disagree,Somewhat agree,Somewhat Positive,They are about the same,Somewhat likely,Very likely,Very likely,1.5,10,1,4,7.5,0.5,10,1,4,8.5,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Interruptions,Problems with audio-visual setup,Connectivity/internet issues,Connectivity/internet issues,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Lack of privacy,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Neither agree nor disagree,3,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,20%,
1466,1980,Female,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Couple with no dependent children,Metro,80%,80%,70%,80%,60%,No,No,,,Yes,20%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat Positive,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,4,Neither agree nor disagree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Somewhat likely,Somewhat unlikely,4,9,1,4,6,0.5,9.5,3,4,7,No,,Not a barrier for me,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Difficulty collaborating with remote colleagues,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Lack of privacy,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Difficulty innovating,Neither agree nor disagree,3,Strongly agree,Somewhat agree,No,,,,,,,,,,,20%,
261,1990,Female,More than 5 years,Information Media and Telecommunications,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,Couple with dependent children,Metro,100%,100%,40%,40%,40%,Yes,Yes,60%,60%,Unsure,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4,Strongly disagree,Strongly agree,Strongly Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,2,8,2,4,8,0,7,4,5,8,No,,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Lack of privacy,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of privacy,Noisy work environment,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Noisy work environment,Lack of privacy,Noisy work environment,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty innovating,Noisy work environment,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Neither agree nor disagree,3,Neither agree nor disagree,Somewhat disagree,No,,,,,,,,,,,20%,
539,1990,Female,More than 5 years,Information Media and Telecommunications,Sales workers - Sales Representatives and Agents,More than 200,Couple with dependent children,Metro,40%,40%,40%,40%,40%,No,No,,,Unsure,,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat Positive,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,4,Somewhat disagree,Strongly agree,Somewhat Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,2,8,2,4,8,0,6,4,4,10,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Interruptions,Lack of privacy,Lack of privacy,Connectivity/internet issues,Interruptions,Difficulty innovating,Lack of privacy,Connectivity/internet issues,Noisy work environment,Difficulty innovating,Interruptions,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Lack of privacy,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty innovating,Neither agree nor disagree,3,Somewhat disagree,Somewhat disagree,No,,,,,,,,,,,20%,
155,1982,Female,More than 5 years,Retail Trade,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Couple with dependent children,Metro,30%,30%,20%,30%,30%,No,No,,,Yes,80%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,4,Neither agree nor disagree,Somewhat agree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Somewhat unlikely,3,8,1,3,9,0.5,8,1.5,5,9,No,,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Lack of privacy,Interruptions,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Interruptions,Difficulty innovating,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Noisy work environment,Lack of privacy,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Lack of privacy,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Difficulty innovating,Neither agree nor disagree,3,Somewhat agree,Neither agree nor disagree,No,,,,,,,,,,,10%,
